Well,Formation,Depth,Bulk_density_dry,Bulk_density_saturated,Vp_vertical_dry,Vp_vertical_saturated,Vs_vertical_dry,Vs_vertical_saturated,Carbonate_content,Quartz_content,Clay_content,Porosity_calculated,Bulk_modulus_dry_calculated,Shear_modulus_dry_calculated,Bulk_modulus_saturated_calculated,Shear_modulus_saturated_calculated,Poisson_ratio_dry_calculated,Poisson_ratio_saturated_calculated,Biots_coefficient_calculated,Vertical_overburden_stress,Vertical_differential_stress,Vertical_effective_stress,Bulk_modulus_saturated_Gassmanns,Shear_modulus_saturated_Gassmanns,Bulk_modulus_dry_Gassmanns,Shear_modulus_dry_Gassmanns,Vp_vertical_saturated_Gassmanns,Vs_vertical_saturated_Gassmanns,Vp_vertical_dry_Gassmanns,Vs_vertical_dry_Gassmanns
,,ft,g/cc,g/cc,km/s,km/s,km/s,km/s,%,%,%,%,GPa,GPa,GPa,GPa,,,,psi,psi,psi,GPa,GPa,GPa,GPa,km/s,km/s,km/s,km/s
A760,Tor,,1.92,2.21,3.48,3.6,2.16,1.98,98.0,1.0,1.0,29.21,11.28,8.94,17.08,8.66,0.19,0.28,0.58,,,,13.91,7.05,8.9,7.05,3.25,1.79,3.09,1.92
A763,Tor,,1.95,2.23,3.52,3.6,2.18,1.98,97.05,1.97,0.98,27.88,11.81,9.27,17.25,8.75,0.19,0.28,0.56,,,,14.49,7.35,9.36,7.35,3.3,1.81,3.13,1.94
A767,Tor,,1.87,2.18,3.47,3.53,2.12,1.96,98.9,1.0,0.1,30.87,11.33,8.42,16.01,8.38,0.2,0.28,0.62,,,,13.82,7.24,9.74,7.24,3.28,1.82,3.22,1.97
A771,Tor,,1.84,2.16,3.33,3.4,2.03,1.82,98.7,1.0,0.3,32.06,10.29,7.58,15.44,7.16,0.2,0.3,0.64,,,,12.79,5.93,8.05,5.93,3.09,1.66,2.94,1.8
B220,Tor,,1.89,2.2,3.33,3.33,2.07,1.82,95.84,2.08,2.08,29.91,10.18,8.12,14.65,7.27,0.19,0.29,0.6,,,,12.82,6.37,7.99,6.37,3.12,1.7,2.95,1.83
B260,Tor,,1.6,2.01,2.45,2.63,1.62,1.37,96.0,2.0,2.0,40.95,4.0,4.19,8.86,3.77,0.11,0.31,0.82,,,,6.41,2.72,2.6,2.72,2.24,1.17,1.98,1.31
B264,Tor,,1.62,2.02,2.43,2.58,1.58,1.34,97.01,1.99,1.0,40.1,4.18,4.05,8.62,3.63,0.13,0.32,0.8,,,,6.63,2.79,2.88,2.79,2.26,1.17,2.02,1.31
C121,Tor,,1.56,1.98,2.09,2.44,1.42,1.25,96.02,1.99,1.99,42.35,2.62,3.14,7.68,3.1,0.07,0.32,0.85,,,,5.06,2.04,1.7,2.04,1.98,1.01,1.68,1.14
C128,Tor,,1.55,1.98,2.06,2.37,1.37,1.13,96.01,1.99,1.99,42.55,2.7,2.91,7.75,2.53,0.1,0.35,0.85,,,,5.12,1.67,1.55,1.67,1.93,0.92,1.56,1.04
C136,Tor,,1.59,2.0,2.07,2.43,1.39,1.22,96.02,1.99,1.99,41.25,2.71,3.07,7.85,2.98,0.09,0.33,0.82,,,,5.21,1.98,1.75,1.98,1.98,0.99,1.66,1.12
C151,Tor,,1.53,1.96,2.2,2.48,1.44,1.26,96.0,2.0,2.0,43.55,3.17,3.16,7.92,3.12,0.13,0.33,0.87,,,,5.5,2.16,2.17,2.16,2.07,1.05,1.82,1.19
C200,Tor,,1.49,1.94,1.98,2.31,1.3,1.12,96.04,1.98,1.98,44.86,2.48,2.52,7.11,2.43,0.12,0.35,0.9,,,,4.8,1.64,1.62,1.64,1.9,0.92,1.6,1.05
C204,Tor,,1.59,2.0,1.96,2.36,1.34,1.19,97.01,1.99,1.0,41.2,2.3,2.86,7.38,2.84,0.06,0.33,0.82,,,,4.83,1.86,1.5,1.86,1.91,0.96,1.58,1.08
C212,Tor,,1.55,1.98,2.06,2.43,1.39,1.23,96.04,1.98,1.98,42.55,2.59,3.0,7.7,3.0,0.08,0.33,0.85,,,,5.02,1.95,1.69,1.95,1.96,0.99,1.66,1.12
